activity_id,activity_type,name,priority,frequency,facilitator,location,remote_possible,equipment,details,preparation,backup_activity,skip_adjustment,metrics
1,Medication,Omega3,High,Daily,None,Home,Yes,None,Supports_cardiovascular_health,Take_with_meal,Fish_Intake,Reschedule_next_available_slot,Omega_Level
2,Exercise,Yoga,Medium,2/week,Trainer,Gym,No,Yoga_Mat,Focus_on_flexibility_and_breathing,Light_stretching_before_session,Home_Stretching,Reschedule_next_available_slot,Flexibility
3,Consultation,Diet_Consultation,Medium,1/month,Dietician,Clinic,No,None,Review_nutrition_and_meal_plan,Prepare_food_log_for_last_week,Online_Diet_Call,Reschedule_next_available_slot,Diet_Report
4,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
5,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
6,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
7,Exercise,Morning_Run,High,2/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
8,Exercise,Morning_Run,High,2/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
9,Therapy,Ice_Bath,Medium,1/week,Therapist,Wellness_Center,No,IceBath,Cold_therapy_for_inflammation_reduction,Prepare_cold_water_tub,Cold_Shower,Reschedule_next_available_slot,Recovery_Rate
10,Consultation,Physio_Checkup,Medium,1/month,Physiotherapist,Clinic,No,None,Assess_joint_mobility_and_posture,Bring_recent_medical_reports,Online_Physio_Call,Reschedule_next_available_slot,Mobility_Report
11,Exercise,Morning_Run,High,3/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
12,Exercise,Strength_Training,High,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
13,Exercise,Yoga,Medium,3/week,Trainer,Gym,No,Yoga_Mat,Focus_on_flexibility_and_breathing,Light_stretching_before_session,Home_Stretching,Reschedule_next_available_slot,Flexibility
14,Exercise,Morning_Run,Medium,3/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
15,Medication,Vitamin_D,High,Daily,None,Home,Yes,None,Supplement_for_bone_and_immune_health,Take_after_breakfast,Multivitamin,Reschedule_next_available_slot,Vitamin_Level
16,Food,Protein_Shake,High,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
17,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
18,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
19,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
20,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
21,Exercise,Strength_Training,High,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
22,Food,Protein_Shake,High,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
23,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
24,Exercise,Strength_Training,Medium,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
25,Exercise,Cycling,Medium,3/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
26,Exercise,Strength_Training,High,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
27,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
28,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
29,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
30,Exercise,Cycling,Medium,2/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
31,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
32,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
33,Medication,Omega3,High,Daily,None,Home,Yes,None,Supports_cardiovascular_health,Take_with_meal,Fish_Intake,Reschedule_next_available_slot,Omega_Level
34,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
35,Consultation,Physio_Checkup,Medium,1/month,Physiotherapist,Clinic,No,None,Assess_joint_mobility_and_posture,Bring_recent_medical_reports,Online_Physio_Call,Reschedule_next_available_slot,Mobility_Report
36,Medication,Magnesium,High,Daily,None,Home,Yes,None,Supports_muscle_and_nerve_function,Take_before_sleep,Magnesium_rich_food,Reschedule_next_available_slot,Mineral_Level
37,Exercise,Strength_Training,Medium,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
38,Therapy,Sauna_Session,Medium,1/week,Therapist,Wellness_Center,No,Sauna,Heat_therapy_for_muscle_relaxation,Hydrate_before_session,Hot_Bath,Reschedule_next_available_slot,Body_Temperature
