equipment,date,available
Treadmill,2026-01-01,Yes
Yoga_Mat,2026-01-01,Yes
Sauna,2026-01-01,Yes
IceBath,2026-01-01,Yes
Weights,2026-01-01,Yes
Treadmill,2026-01-02,Yes
Yoga_Mat,2026-01-02,Yes
Sauna,2026-01-02,No
IceBath,2026-01-02,Yes
Weights,2026-01-02,Yes
Treadmill,2026-01-03,No
Yoga_Mat,2026-01-03,Yes
Sauna,2026-01-03,Yes
IceBath,2026-01-03,Yes
Weights,2026-01-03,Yes
Treadmill,2026-01-04,Yes
Yoga_Mat,2026-01-04,Yes
Sauna,2026-01-04,Yes
IceBath,2026-01-04,Yes
Weights,2026-01-04,Yes
Treadmill,2026-01-05,Yes
Yoga_Mat,2026-01-05,Yes
Sauna,2026-01-05,Yes
IceBath,2026-01-05,Yes
Weights,2026-01-05,Yes
Treadmill,2026-01-06,Yes
Yoga_Mat,2026-01-06,Yes
Sauna,2026-01-06,No
IceBath,2026-01-06,Yes
Weights,2026-01-06,Yes
Treadmill,2026-01-07,Yes
Yoga_Mat,2026-01-07,Yes
Sauna,2026-01-07,Yes
IceBath,2026-01-07,Yes
Weights,2026-01-07,Yes
Treadmill,2026-01-08,Yes
Yoga_Mat,2026-01-08,Yes
Sauna,2026-01-08,Yes
IceBath,2026-01-08,Yes
Weights,2026-01-08,Yes
Treadmill,2026-01-09,Yes
Yoga_Mat,2026-01-09,Yes
Sauna,2026-01-09,Yes
IceBath,2026-01-09,Yes
Weights,2026-01-09,Yes
Treadmill,2026-01-10,Yes
Yoga_Mat,2026-01-10,Yes
Sauna,2026-01-10,Yes
IceBath,2026-01-10,Yes
Weights,2026-01-10,Yes
Treadmill,2026-01-11,Yes
Yoga_Mat,2026-01-11,Yes
Sauna,2026-01-11,Yes
IceBath,2026-01-11,Yes
Weights,2026-01-11,Yes
Treadmill,2026-01-12,Yes
Yoga_Mat,2026-01-12,Yes
Sauna,2026-01-12,Yes
IceBath,2026-01-12,Yes
Weights,2026-01-12,Yes
Treadmill,2026-01-13,Yes
Yoga_Mat,2026-01-13,Yes
Sauna,2026-01-13,Yes
IceBath,2026-01-13,Yes
Weights,2026-01-13,Yes
Treadmill,2026-01-14,Yes
Yoga_Mat,2026-01-14,Yes
Sauna,2026-01-14,Yes
IceBath,2026-01-14,Yes
Weights,2026-01-14,No
Treadmill,2026-01-15,Yes
Yoga_Mat,2026-01-15,Yes
Sauna,2026-01-15,Yes
IceBath,2026-01-15,Yes
Weights,2026-01-15,No
Treadmill,2026-01-16,Yes
Yoga_Mat,2026-01-16,Yes
Sauna,2026-01-16,Yes
IceBath,2026-01-16,Yes
Weights,2026-01-16,Yes
Treadmill,2026-01-17,Yes
Yoga_Mat,2026-01-17,Yes
Sauna,2026-01-17,Yes
IceBath,2026-01-17,Yes
Weights,2026-01-17,No
Treadmill,2026-01-18,Yes
Yoga_Mat,2026-01-18,No
Sauna,2026-01-18,Yes
IceBath,2026-01-18,Yes
Weights,2026-01-18,Yes
Treadmill,2026-01-19,Yes
Yoga_Mat,2026-01-19,Yes
Sauna,2026-01-19,Yes
IceBath,2026-01-19,Yes
Weights,2026-01-19,Yes
Treadmill,2026-01-20,Yes
Yoga_Mat,2026-01-20,Yes
Sauna,2026-01-20,Yes
IceBath,2026-01-20,Yes
Weights,2026-01-20,Yes
Treadmill,2026-01-21,Yes
Yoga_Mat,2026-01-21,Yes
Sauna,2026-01-21,Yes
IceBath,2026-01-21,Yes
Weights,2026-01-21,Yes
Treadmill,2026-01-22,Yes
Yoga_Mat,2026-01-22,Yes
Sauna,2026-01-22,Yes
IceBath,2026-01-22,No
Weights,2026-01-22,Yes
Treadmill,2026-01-23,Yes
Yoga_Mat,2026-01-23,Yes
Sauna,2026-01-23,Yes
IceBath,2026-01-23,Yes
Weights,2026-01-23,Yes
Treadmill,2026-01-24,No
Yoga_Mat,2026-01-24,Yes
Sauna,2026-01-24,Yes
IceBath,2026-01-24,Yes
Weights,2026-01-24,No
Treadmill,2026-01-25,Yes
Yoga_Mat,2026-01-25,Yes
Sauna,2026-01-25,Yes
IceBath,2026-01-25,Yes
Weights,2026-01-25,No
Treadmill,2026-01-26,Yes
Yoga_Mat,2026-01-26,Yes
Sauna,2026-01-26,Yes
IceBath,2026-01-26,Yes
Weights,2026-01-26,No
Treadmill,2026-01-27,Yes
Yoga_Mat,2026-01-27,Yes
Sauna,2026-01-27,Yes
IceBath,2026-01-27,No
Weights,2026-01-27,Yes
Treadmill,2026-01-28,Yes
Yoga_Mat,2026-01-28,Yes
Sauna,2026-01-28,Yes
IceBath,2026-01-28,Yes
Weights,2026-01-28,Yes
Treadmill,2026-01-29,Yes
Yoga_Mat,2026-01-29,Yes
Sauna,2026-01-29,Yes
IceBath,2026-01-29,Yes
Weights,2026-01-29,Yes
Treadmill,2026-01-30,Yes
Yoga_Mat,2026-01-30,No
Sauna,2026-01-30,Yes
IceBath,2026-01-30,Yes
Weights,2026-01-30,Yes
Treadmill,2026-01-31,Yes
Yoga_Mat,2026-01-31,No
Sauna,2026-01-31,Yes
IceBath,2026-01-31,Yes
Weights,2026-01-31,Yes
Treadmill,2026-02-01,Yes
Yoga_Mat,2026-02-01,No
Sauna,2026-02-01,Yes
IceBath,2026-02-01,No
Weights,2026-02-01,Yes
Treadmill,2026-02-02,Yes
Yoga_Mat,2026-02-02,Yes
Sauna,2026-02-02,Yes
IceBath,2026-02-02,Yes
Weights,2026-02-02,Yes
Treadmill,2026-02-03,Yes
Yoga_Mat,2026-02-03,Yes
Sauna,2026-02-03,Yes
IceBath,2026-02-03,Yes
Weights,2026-02-03,Yes
Treadmill,2026-02-04,Yes
Yoga_Mat,2026-02-04,Yes
Sauna,2026-02-04,Yes
IceBath,2026-02-04,Yes
Weights,2026-02-04,Yes
Treadmill,2026-02-05,Yes
Yoga_Mat,2026-02-05,Yes
Sauna,2026-02-05,Yes
IceBath,2026-02-05,Yes
Weights,2026-02-05,Yes
Treadmill,2026-02-06,Yes
Yoga_Mat,2026-02-06,Yes
Sauna,2026-02-06,Yes
IceBath,2026-02-06,Yes
Weights,2026-02-06,Yes
Treadmill,2026-02-07,Yes
Yoga_Mat,2026-02-07,Yes
Sauna,2026-02-07,Yes
IceBath,2026-02-07,Yes
Weights,2026-02-07,Yes
Treadmill,2026-02-08,Yes
Yoga_Mat,2026-02-08,No
Sauna,2026-02-08,Yes
IceBath,2026-02-08,Yes
Weights,2026-02-08,Yes
Treadmill,2026-02-09,Yes
Yoga_Mat,2026-02-09,Yes
Sauna,2026-02-09,Yes
IceBath,2026-02-09,Yes
Weights,2026-02-09,Yes
Treadmill,2026-02-10,Yes
Yoga_Mat,2026-02-10,Yes
Sauna,2026-02-10,Yes
IceBath,2026-02-10,Yes
Weights,2026-02-10,Yes
Treadmill,2026-02-11,Yes
Yoga_Mat,2026-02-11,Yes
Sauna,2026-02-11,Yes
IceBath,2026-02-11,No
Weights,2026-02-11,Yes
Treadmill,2026-02-12,Yes
Yoga_Mat,2026-02-12,Yes
Sauna,2026-02-12,Yes
IceBath,2026-02-12,Yes
Weights,2026-02-12,Yes
Treadmill,2026-02-13,Yes
Yoga_Mat,2026-02-13,Yes
Sauna,2026-02-13,Yes
IceBath,2026-02-13,Yes
Weights,2026-02-13,Yes
Treadmill,2026-02-14,Yes
Yoga_Mat,2026-02-14,Yes
Sauna,2026-02-14,Yes
IceBath,2026-02-14,Yes
Weights,2026-02-14,Yes
Treadmill,2026-02-15,Yes
Yoga_Mat,2026-02-15,Yes
Sauna,2026-02-15,Yes
IceBath,2026-02-15,Yes
Weights,2026-02-15,Yes
Treadmill,2026-02-16,Yes
Yoga_Mat,2026-02-16,Yes
Sauna,2026-02-16,Yes
IceBath,2026-02-16,Yes
Weights,2026-02-16,Yes
Treadmill,2026-02-17,Yes
Yoga_Mat,2026-02-17,Yes
Sauna,2026-02-17,Yes
IceBath,2026-02-17,Yes
Weights,2026-02-17,Yes
Treadmill,2026-02-18,Yes
Yoga_Mat,2026-02-18,Yes
Sauna,2026-02-18,Yes
IceBath,2026-02-18,No
Weights,2026-02-18,No
Treadmill,2026-02-19,Yes
Yoga_Mat,2026-02-19,Yes
Sauna,2026-02-19,Yes
IceBath,2026-02-19,Yes
Weights,2026-02-19,Yes
Treadmill,2026-02-20,No
Yoga_Mat,2026-02-20,Yes
Sauna,2026-02-20,Yes
IceBath,2026-02-20,Yes
Weights,2026-02-20,Yes
Treadmill,2026-02-21,Yes
Yoga_Mat,2026-02-21,Yes
Sauna,2026-02-21,Yes
IceBath,2026-02-21,No
Weights,2026-02-21,Yes
Treadmill,2026-02-22,Yes
Yoga_Mat,2026-02-22,Yes
Sauna,2026-02-22,No
IceBath,2026-02-22,Yes
Weights,2026-02-22,Yes
Treadmill,2026-02-23,Yes
Yoga_Mat,2026-02-23,Yes
Sauna,2026-02-23,Yes
IceBath,2026-02-23,No
Weights,2026-02-23,No
Treadmill,2026-02-24,Yes
Yoga_Mat,2026-02-24,Yes
Sauna,2026-02-24,Yes
IceBath,2026-02-24,Yes
Weights,2026-02-24,Yes
Treadmill,2026-02-25,Yes
Yoga_Mat,2026-02-25,Yes
Sauna,2026-02-25,Yes
IceBath,2026-02-25,Yes
Weights,2026-02-25,Yes
Treadmill,2026-02-26,Yes
Yoga_Mat,2026-02-26,Yes
Sauna,2026-02-26,Yes
IceBath,2026-02-26,No
Weights,2026-02-26,Yes
Treadmill,2026-02-27,Yes
Yoga_Mat,2026-02-27,Yes
Sauna,2026-02-27,Yes
IceBath,2026-02-27,Yes
Weights,2026-02-27,Yes
Treadmill,2026-02-28,Yes
Yoga_Mat,2026-02-28,Yes
Sauna,2026-02-28,Yes
IceBath,2026-02-28,Yes
Weights,2026-02-28,No
Treadmill,2026-03-01,Yes
Yoga_Mat,2026-03-01,Yes
Sauna,2026-03-01,Yes
IceBath,2026-03-01,Yes
Weights,2026-03-01,Yes
Treadmill,2026-03-02,Yes
Yoga_Mat,2026-03-02,Yes
Sauna,2026-03-02,Yes
IceBath,2026-03-02,Yes
Weights,2026-03-02,Yes
Treadmill,2026-03-03,Yes
Yoga_Mat,2026-03-03,Yes
Sauna,2026-03-03,Yes
IceBath,2026-03-03,Yes
Weights,2026-03-03,Yes
Treadmill,2026-03-04,Yes
Yoga_Mat,2026-03-04,Yes
Sauna,2026-03-04,Yes
IceBath,2026-03-04,Yes
Weights,2026-03-04,Yes
Treadmill,2026-03-05,No
Yoga_Mat,2026-03-05,No
Sauna,2026-03-05,Yes
IceBath,2026-03-05,Yes
Weights,2026-03-05,Yes
Treadmill,2026-03-06,Yes
Yoga_Mat,2026-03-06,Yes
Sauna,2026-03-06,Yes
IceBath,2026-03-06,Yes
Weights,2026-03-06,Yes
Treadmill,2026-03-07,Yes
Yoga_Mat,2026-03-07,Yes
Sauna,2026-03-07,Yes
IceBath,2026-03-07,Yes
Weights,2026-03-07,Yes
Treadmill,2026-03-08,Yes
Yoga_Mat,2026-03-08,Yes
Sauna,2026-03-08,Yes
IceBath,2026-03-08,Yes
Weights,2026-03-08,Yes
Treadmill,2026-03-09,Yes
Yoga_Mat,2026-03-09,Yes
Sauna,2026-03-09,Yes
IceBath,2026-03-09,Yes
Weights,2026-03-09,Yes
Treadmill,2026-03-10,Yes
Yoga_Mat,2026-03-10,Yes
Sauna,2026-03-10,Yes
IceBath,2026-03-10,Yes
Weights,2026-03-10,Yes
